No-change_LCMS	No-change_Pho	Down_Pho	Up_Pho
CNAG_00280	CNAG_04957
CNAG_04985	CNAG_05388
CNAG_06908	CNAG_03976
CNAG_00584	CNAG_05642
CNAG_06061	CNAG_00567
CNAG_02007	CNAG_00334
CNAG_05932	CNAG_03314
CNAG_01138	CNAG_03155
CNAG_04762	CNAG_05781
CNAG_01557	CNAG_04131
CNAG_05909	CNAG_05360
CNAG_01102	CNAG_05235
CNAG_04209	CNAG_03118
CNAG_06361	CNAG_01727
CNAG_05809	CNAG_01593
CNAG_03109	CNAG_01575
CNAG_01854	CNAG_07413
CNAG_01744	CNAG_00065
CNAG_01091	CNAG_04879
CNAG_05105	CNAG_00390
CNAG_03863	CNAG_03788
CNAG_04800	CNAG_00415
CNAG_02237	CNAG_02262
CNAG_02485	CNAG_00156
CNAG_07801	CNAG_00650
CNAG_05521	CNAG_01107
CNAG_00407	CNAG_02197
CNAG_07559	CNAG_00008
CNAG_07346	CNAG_06600
CNAG_04443	CNAG_02281
CNAG_05134	CNAG_05703
CNAG_02091	CNAG_03699
CNAG_06576	CNAG_06647
CNAG_03931	CNAG_06603
CNAG_06633	CNAG_04694
CNAG_01264	CNAG_01117
CNAG_05028	CNAG_02564
CNAG_02486	CNAG_02419
CNAG_03052	CNAG_06747
CNAG_05132	CNAG_06920
CNAG_02714	CNAG_07530
CNAG_00978	CNAG_05887
CNAG_03959	CNAG_04398
CNAG_03146	CNAG_08002
CNAG_02981	CNAG_04282
CNAG_05115	CNAG_04152
CNAG_01170	CNAG_06756
CNAG_03251	CNAG_03075
CNAG_02664	CNAG_04786
CNAG_06168	CNAG_01528
CNAG_00716	CNAG_02291
CNAG_02285	CNAG_05768
CNAG_02568	CNAG_02432
CNAG_01745	CNAG_00737
CNAG_00084	CNAG_04004
CNAG_01164	CNAG_03426
CNAG_00116	CNAG_03826
CNAG_06679	CNAG_03655
CNAG_02991	CNAG_05963
CNAG_03591	CNAG_02773
CNAG_00065	CNAG_00193
CNAG_01305	CNAG_03839
CNAG_00287	CNAG_04450
CNAG_02263	CNAG_05613
CNAG_00570	CNAG_01340
CNAG_02177	CNAG_03840
CNAG_01598	CNAG_02726
CNAG_05256	CNAG_02882
CNAG_07740	CNAG_07411
CNAG_07778	CNAG_04165
CNAG_06175	CNAG_03958
CNAG_01111	CNAG_04904
CNAG_06602	CNAG_04816
