gene_id	LFC
CNAG_05442	2.39E-01
CNAG_05906	-2.92E-01
CNAG_06815	5.48E-01
CNAG_05081	-2.52E-01
CNAG_03377	-2.30E-01
CNAG_03979	-3.66E-01
CNAG_06896	8.19E-01
CNAG_00467	2.23E-01
CNAG_03834	8.63E-01
CNAG_04736	7.39E-01
CNAG_07781	-3.17E-01
CNAG_03307	1.24E+00
CNAG_05765	6.61E-01
CNAG_05852	2.43E-01
CNAG_02122	5.38E-01
CNAG_00846	-4.26E-01
CNAG_03899	9.07E-01
CNAG_01253	-4.58E-01
CNAG_01877	-5.13E-01
CNAG_00458	-1.79E-01
CNAG_00689	-2.53E-01
CNAG_07316	-5.80E-01
CNAG_02353	3.19E-01
CNAG_03999	2.16E+00
CNAG_03176	1.99E+00
CNAG_03608	2.79E-01
CNAG_13105	-6.99E-01
CNAG_12548	1.10E+00
CNAG_01708	2.35E-01
CNAG_05968	-4.18E-01
CNAG_07486	5.03E-01
CNAG_02683	2.32E-01
CNAG_05828	5.37E-01
CNAG_01018	-1.81E-01
CNAG_06534	-5.20E-01
CNAG_01659	2.09E-01
CNAG_12037	7.80E-01
CNAG_01891	3.74E-01
CNAG_03212	7.33E-01
CNAG_04374	4.10E-01
CNAG_02814	-7.04E-01
CNAG_05278	1.66E+00
CNAG_03000	-6.89E-01
CNAG_02139	6.28E-01
CNAG_07542	-2.41E-01
CNAG_03479	2.89E-01
CNAG_06148	6.94E-01
CNAG_04713	-2.73E-01
CNAG_00559	6.95E-01
CNAG_03651	-2.34E-01
CNAG_05333	-6.04E-01
CNAG_00465	9.04E-01
CNAG_07903	4.15E-01
CNAG_04675	3.06E+00
CNAG_02004	9.36E-01
CNAG_05438	-5.72E-01
CNAG_04479	5.91E-01
CNAG_12514	-1.33E+00
CNAG_09011	5.34E+00
CNAG_00807	-9.61E-01
CNAG_12203	7.82E-01
CNAG_09006	3.54E+00
CNAG_00139	-6.34E-01
CNAG_00451	-3.80E-01
CNAG_06943	6.38E-01
CNAG_06497	-1.31E+00
CNAG_02919	1.16E+00
CNAG_12337	-7.20E-01
CNAG_05874	-6.56E-01
CNAG_01611	2.66E-01
CNAG_04378	-3.48E-01
CNAG_07868	5.13E-01
CNAG_04890	1.96E+00
CNAG_01493	-3.92E-01
CNAG_05167	-4.63E-01
CNAG_03646	-3.61E-01
CNAG_00390	5.38E-01
CNAG_03658	4.97E-01
CNAG_01348	-7.96E-01
CNAG_01152	-4.49E-01
CNAG_06169	-6.40E-01
CNAG_04268	5.63E-01
CNAG_01077	-5.05E-01
CNAG_12249	-6.64E-01
CNAG_05348	1.63E-01
CNAG_06523	-3.41E-01
CNAG_06832	5.25E-01
CNAG_00640	-5.08E-01
CNAG_06515	-4.71E-01
CNAG_05388	-3.07E-01
CNAG_04557	-2.35E-01
CNAG_01959	3.17E-01
CNAG_04433	2.97E-01
CNAG_00077	-6.66E-01
CNAG_02547	-2.36E-01
CNAG_03021	5.71E-01
CNAG_07597	5.32E-01
CNAG_03949	-3.96E-01
CNAG_01660	-2.04E-01
CNAG_03283	-4.63E-01
CNAG_06472	-5.20E-01
CNAG_00720	2.90E-01
CNAG_02902	4.28E-01
CNAG_01793	1.03E+00
CNAG_05468	1.57E-01
CNAG_02842	-5.03E-01
CNAG_06775	-2.17E-01
CNAG_12293	4.57E-01
CNAG_04236	-3.92E-01
CNAG_00892	-5.89E-01
CNAG_10503	2.55E+00
CNAG_12516	-5.19E-01
CNAG_02037	-4.25E-01
CNAG_00796	2.97E+00
CNAG_00783	-2.12E-01
CNAG_06431	-2.67E-01
CNAG_04523	-8.52E-01
CNAG_00841	2.27E-01
CNAG_05888	6.10E-01
CNAG_03974	8.87E-01
CNAG_03299	2.34E-01
CNAG_01108	4.04E-01
CNAG_05737	-3.99E-01
CNAG_02793	-3.04E-01
CNAG_06610	-4.88E-01
CNAG_02584	-4.42E-01
CNAG_04927	-6.98E-01
CNAG_02681	8.69E-01
CNAG_07560	-2.19E-01
CNAG_12470	7.83E-01
CNAG_07028	2.39E-01
CNAG_00246	3.84E-01
CNAG_04030	-6.09E-01
CNAG_06487	6.08E-01
CNAG_04880	4.74E-01
CNAG_03452	-4.11E-01
CNAG_04771	5.02E-01
CNAG_03373	-3.44E-01
CNAG_02522	-2.63E-01
CNAG_02422	-3.42E-01
CNAG_07694	-3.11E-01
CNAG_06899	2.77E-01
CNAG_00675	-2.19E-01
CNAG_01104	-3.85E-01
CNAG_04296	2.03E-01
CNAG_05695	5.22E-01
CNAG_05030	-1.71E-01
CNAG_07880	3.71E-01
CNAG_01267	-7.79E-01
CNAG_04876	2.79E-01
CNAG_05106	-2.99E-01
CNAG_01089	-3.14E-01
CNAG_01795	1.77E+00
CNAG_04050	-4.06E-01
CNAG_03444	-2.35E-01
CNAG_04310	-7.76E-01
CNAG_00471	-5.00E-01
CNAG_02924	3.64E-01
CNAG_06627	-1.74E-01
CNAG_12428	-5.86E-01
CNAG_06953	-3.95E-01
CNAG_07382	-3.11E-01
CNAG_02999	4.86E-01
CNAG_05462	-4.41E-01
CNAG_04180	-2.14E-01
CNAG_00510	-5.53E-01
CNAG_12236	-6.60E-01
CNAG_02435	-3.54E-01
CNAG_06241	-3.84E-01
CNAG_12040	-1.04E+00
CNAG_02534	-3.50E-01
CNAG_06829	-2.16E-01
CNAG_03325	2.13E-01
CNAG_08026	-3.88E-01
CNAG_01207	1.25E+00
CNAG_02261	1.91E-01
CNAG_04796	3.06E-01
CNAG_12217	1.45E+00
CNAG_06711	-2.43E-01
CNAG_02378	-4.74E-01
CNAG_03484	2.99E-01
CNAG_03939	-4.14E-01
CNAG_06364	-3.46E-01
CNAG_00608	-4.56E-01
CNAG_12815	1.36E+00
CNAG_06813	-2.73E-01
CNAG_04726	-5.26E-01
CNAG_00819	-7.49E-01
CNAG_00162	-1.20E+00
CNAG_00021	-3.98E-01
CNAG_00190	1.22E+00
CNAG_04163	-1.34E+00
CNAG_04240	3.56E-01
CNAG_07999	-5.91E-01
CNAG_01332	-4.45E-01
CNAG_01819	-2.22E-01
CNAG_12432	-7.40E-01
CNAG_05293	4.37E-01
CNAG_05097	-5.64E-01
CNAG_00347	-2.52E-01
CNAG_02969	-6.36E-01
CNAG_12482	4.05E-01
CNAG_02197	1.73E-01
CNAG_13020	-1.79E+00
